Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Jan 30 2021,8:30p,Detroit Pistons,,Golden State Warriors,,,,,
Sat Jan 30 2021,8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Sun Jan 31 2021,3:30p,Utah Jazz,,Denver Nuggets,,,,,
Sun Jan 31 2021,5:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
Sun Jan 31 2021,5:00p,Los Angeles Clippers,,New York Knicks,,,,,
Sun Jan 31 2021,6:00p,Orlando Magic,,Toronto Raptors,,,,,
Sun Jan 31 2021,7:00p,Brooklyn Nets,,Washington Wizards,,,,,
Sun Jan 31 2021,7:30p,Cleveland Cavaliers,,Minnesota Timberwolves,,,,,
Mon Feb 1 2021,7:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
Mon Feb 1 2021,7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,
Mon Feb 1 2021,7:30p,Charlotte Hornets,,Miami Heat,,,,,
Mon Feb 1 2021,8:00p,New York Knicks,,Chicago Bulls,,,,,
Mon Feb 1 2021,8:00p,Portland Trail Blazers,,Milwaukee Bucks,,,,,
Mon Feb 1 2021,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,
Mon Feb 1 2021,8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,
Mon Feb 1 2021,8:30p,Phoenix Suns,,Dallas Mavericks,,,,,
Mon Feb 1 2021,8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Mon Feb 1 2021,9:00p,Detroit Pistons,,Denver Nuggets,,,,,
Tue Feb 2 2021,7:00p,Memphis Grizzlies,,Indiana Pacers,,,,,
Tue Feb 2 2021,7:00p,Toronto Raptors,,Orlando Magic,,,,,
Tue Feb 2 2021,7:30p,Los Angeles Clippers,,Brooklyn Nets,,,,,
Tue Feb 2 2021,9:00p,Detroit Pistons,,Utah Jazz,,,,,
Tue Feb 2 2021,10:00p,Boston Celtics,,Golden State Warriors,,,,,
